48,2
92,6
114,8
127,8
151,10
186,13
366,26
208,14
718,50
711,51
842,63
1505,106
3235,227
6237,425
8218,554
15572,978
22914,1441
27976,1789
53482,3344
71684,4424
127615,7788
179230,10894
321721,18361
445666,24918
718898,40053
988153,51496
1490369,76191
1790886,90793
2446673,118759
3101978,136608
3884292,159971
